state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_legal_source,matches_keyword,match_reason,match_terms,review_candidate,review_terms
WA,community land trust,RCW 43.185A.010,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.010,RCW 43.185A.010:,Wash. Rev. Code § 43.185A.010,Unknown,True,False,,affordable housing,False,
WA,community land trust,RCW 43.185A.020,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.020,RCW 43.185A.020:,Wash. Rev. Code § 43.185A.020,Unknown,True,False,,affordable housing,False,
WA,community land trust,RCW 43.185A.030,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.030,Chapter 43.185A.030 RCW dispositions: AFFORDABLE HOUSING PROGRAM,Wash. Rev. Code § 43.185A.030,Unknown,True,False,,affordable housing,False,
WA,community land trust,RCW 84.14.010,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.010,RCW 84.14.010:,Wash. Rev. Code § 84.14.010,Amended,True,False,,affordable housing,False,
WA,community land trust,RCW 35.21.830,https://app.leg.wa.gov/rcw/default.aspx?cite=35.21.830,RCW 35.21.830:,Wash. Rev. Code § 35.21.830,Unknown,True,False,,,False,
WA,community land trust,RCW 36.70A.540,https://app.leg.wa.gov/rcw/default.aspx?cite=36.70A.540,RCW 36.70A.540:,Wash. Rev. Code § 36.70A.540,Unknown,True,False,,affordable housing,False,
