state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_legal_source,matches_keyword,match_reason,match_terms,review_candidate,review_terms
AR,community land trust,HB2005,https://arkleg.state.ar.us/Bills/Detail?id=HB2005&ddBienniumSession=2025%2F2025R,HB2005 Bill Information - Arkansas State Legislature,HB2005,Unknown,True,False,,,False,
AR,community land trust,HB2004,https://arkleg.state.ar.us/Bills/Detail?id=HB2004&ddBienniumSession=2025%2F2025R,HB2004 Bill Information - Arkansas State Legislature,HB2004,Unknown,True,False,,,False,
AR,community land trust,HB2003,https://arkleg.state.ar.us/Bills/Detail?id=HB2003&ddBienniumSession=2025%2F2025R,HB2003 Bill Information - Arkansas State Legislature,HB2003,Unknown,True,False,,,False,
AR,community land trust,HB2002,https://arkleg.state.ar.us/Bills/Detail?id=HB2002&ddBienniumSession=2025%2F2025R,HB2002 Bill Information - Arkansas State Legislature,HB2002,Unknown,True,False,,,False,
AR,community land trust,HB2001,https://arkleg.state.ar.us/Bills/Detail?id=HB2001&ddBienniumSession=2025%2F2025R,HB2001 Bill Information - Arkansas State Legislature,HB2001,Unknown,True,False,,,False,
AR,community land trust,HB2000,https://arkleg.state.ar.us/Bills/Detail?id=HB2000&ddBienniumSession=2025%2F2025R,HB2000 Bill Information - Arkansas State Legislature,HB2000,Unknown,True,False,,,False,
AR,community land trust,HB1999,https://arkleg.state.ar.us/Bills/Detail?id=HB1999&ddBienniumSession=2025%2F2025R,HB1999 Bill Information - Arkansas State Legislature,HB1999,Unknown,True,False,,,False,
AR,community land trust,HB1998,https://arkleg.state.ar.us/Bills/Detail?id=HB1998&ddBienniumSession=2025%2F2025R,HB1998 Bill Information - Arkansas State Legislature,HB1998,Unknown,True,False,,,False,
AR,community land trust,HB1997,https://arkleg.state.ar.us/Bills/Detail?id=HB1997&ddBienniumSession=2025%2F2025R,HB1997 Bill Information - Arkansas State Legislature,HB1997,Unknown,True,False,,,False,
AR,community land trust,HB1996,https://arkleg.state.ar.us/Bills/Detail?id=HB1996&ddBienniumSession=2025%2F2025R,HB1996 Bill Information - Arkansas State Legislature,HB1996,Unknown,True,False,,,False,
AR,community land trust,HB1995,https://arkleg.state.ar.us/Bills/Detail?id=HB1995&ddBienniumSession=2025%2F2025R,HB1995 Bill Information - Arkansas State Legislature,HB1995,Unknown,True,False,,,False,
AR,community land trust,HB1994,https://arkleg.state.ar.us/Bills/Detail?id=HB1994&ddBienniumSession=2025%2F2025R,HB1994 Bill Information - Arkansas State Legislature,HB1994,Unknown,True,False,,,False,
AR,community land trust,HB1993,https://arkleg.state.ar.us/Bills/Detail?id=HB1993&ddBienniumSession=2025%2F2025R,HB1993 Bill Information - Arkansas State Legislature,HB1993,Unknown,True,False,,,False,
AR,community land trust,HB1992,https://arkleg.state.ar.us/Bills/Detail?id=HB1992&ddBienniumSession=2025%2F2025R,HB1992 Bill Information - Arkansas State Legislature,HB1992,Unknown,True,False,,,False,
AR,community land trust,HB1991,https://arkleg.state.ar.us/Bills/Detail?id=HB1991&ddBienniumSession=2025%2F2025R,HB1991 Bill Information - Arkansas State Legislature,HB1991,Unknown,True,True,state_fallback_ar:residential development,residential development,False,
AR,community land trust,HB1990,https://arkleg.state.ar.us/Bills/Detail?id=HB1990&ddBienniumSession=2025%2F2025R,HB1990 Bill Information - Arkansas State Legislature,HB1990,Unknown,True,False,,,False,
AR,community land trust,HB1989,https://arkleg.state.ar.us/Bills/Detail?id=HB1989&ddBienniumSession=2025%2F2025R,HB1989 Bill Information - Arkansas State Legislature,HB1989,Unknown,True,False,,,False,
AR,community land trust,HB1988,https://arkleg.state.ar.us/Bills/Detail?id=HB1988&ddBienniumSession=2025%2F2025R,HB1988 Bill Information - Arkansas State Legislature,HB1988,Unknown,True,False,,,False,
AR,community land trust,HB1987,https://arkleg.state.ar.us/Bills/Detail?id=HB1987&ddBienniumSession=2025%2F2025R,HB1987 Bill Information - Arkansas State Legislature,HB1987,Unknown,True,False,,,False,
AR,community land trust,HB1986,https://arkleg.state.ar.us/Bills/Detail?id=HB1986&ddBienniumSession=2025%2F2025R,HB1986 Bill Information - Arkansas State Legislature,HB1986,Unknown,True,False,,,False,
AR,community land trust,SB647,https://arkleg.state.ar.us/Bills/Detail?id=SB647&ddBienniumSession=2025%2F2025R,SB647 Bill Information - Arkansas State Legislature,SB 647,Unknown,True,False,,,False,
AR,community land trust,SB646,https://arkleg.state.ar.us/Bills/Detail?id=SB646&ddBienniumSession=2025%2F2025R,SB646 Bill Information - Arkansas State Legislature,SB 646,Unknown,True,False,,,False,
AR,community land trust,SB645,https://arkleg.state.ar.us/Bills/Detail?id=SB645&ddBienniumSession=2025%2F2025R,SB645 Bill Information - Arkansas State Legislature,SB 645,Unknown,True,False,,,False,
AR,community land trust,SB644,https://arkleg.state.ar.us/Bills/Detail?id=SB644&ddBienniumSession=2025%2F2025R,SB644 Bill Information - Arkansas State Legislature,SB 644,Unknown,True,False,,,False,
AR,community land trust,SB643,https://arkleg.state.ar.us/Bills/Detail?id=SB643&ddBienniumSession=2025%2F2025R,SB643 Bill Information - Arkansas State Legislature,SB 643,Unknown,True,False,,,False,
AR,community land trust,SB642,https://arkleg.state.ar.us/Bills/Detail?id=SB642&ddBienniumSession=2025%2F2025R,SB642 Bill Information - Arkansas State Legislature,SB 642,Unknown,True,False,,,False,
AR,community land trust,SB641,https://arkleg.state.ar.us/Bills/Detail?id=SB641&ddBienniumSession=2025%2F2025R,SB641 Bill Information - Arkansas State Legislature,SB 641,Unknown,True,False,,,False,
AR,community land trust,SB640,https://arkleg.state.ar.us/Bills/Detail?id=SB640&ddBienniumSession=2025%2F2025R,SB640 Bill Information - Arkansas State Legislature,SB 640,Unknown,True,False,,,False,
