state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_bill,matches_keyword,match_reason,match_terms,error
MA,community land trust,S34,https://malegislature.gov/Bills/194/S34,Bill S.34,S34,Unknown,True,False,,,
MA,community land trust,S35,https://malegislature.gov/Bills/194/S35,Bill S.35,S35,Unknown,True,False,,,
MA,community land trust,S36,https://malegislature.gov/Bills/194/S36,Bill S.36,S36,Unknown,True,False,,,
MA,community land trust,S37,https://malegislature.gov/Bills/194/S37,Bill S.37,S37,Unknown,True,False,,,
MA,community land trust,S38,https://malegislature.gov/Bills/194/S38,Resolve S.38,S38,Unknown,True,False,,,
MA,community land trust,S39,https://malegislature.gov/Bills/194/S39,Bill S.39,S39,Unknown,True,False,,,
MA,community land trust,S40,https://malegislature.gov/Bills/194/S40,Bill S.40,S40,Unknown,True,False,,,
MA,community land trust,S41,https://malegislature.gov/Bills/194/S41,Bill S.41,S41,Unknown,True,False,,,
MA,community land trust,S42,https://malegislature.gov/Bills/194/S42,Bill S.42,S42,Unknown,True,False,,,
MA,community land trust,S43,https://malegislature.gov/Bills/194/S43,Bill S.43,S43,Unknown,True,False,,,
MA,community land trust,S44,https://malegislature.gov/Bills/194/S44,Bill S.44,S44,Unknown,True,False,,,
MA,community land trust,S45,https://malegislature.gov/Bills/194/S45,Bill S.45,S45,Unknown,True,False,,,
MA,community land trust,S46,https://malegislature.gov/Bills/194/S46,Bill S.46,S46,Unknown,True,False,,,
MA,community land trust,S47,https://malegislature.gov/Bills/194/S47,Bill S.47,S47,Unknown,True,False,,,
MA,community land trust,S48,https://malegislature.gov/Bills/194/S48,Bill S.48,S48,Unknown,True,False,,,
MA,community land trust,S49,https://malegislature.gov/Bills/194/S49,Bill S.49,S49,Unknown,True,False,,,
MA,community land trust,S50,https://malegislature.gov/Bills/194/S50,Bill S.50,S50,Unknown,True,False,,,
