state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_legal_source,matches_keyword,match_reason,match_terms,review_candidate,review_terms
WA,community land trust,RCW 43.185A.001,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.001,,Wash. Rev. Code § 43.185A.001,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.002,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.002,,Wash. Rev. Code § 43.185A.002,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.003,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.003,,Wash. Rev. Code § 43.185A.003,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.004,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.004,,Wash. Rev. Code § 43.185A.004,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.005,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.005,RCW 43.185A.005: Findings.,Wash. Rev. Code § 43.185A.005,Unknown,True,True,state_fallback_wa:affordable housing,affordable housing,False,
WA,community land trust,RCW 43.185A.006,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.006,,Wash. Rev. Code § 43.185A.006,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.007,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.007,,Wash. Rev. Code § 43.185A.007,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.008,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.008,,Wash. Rev. Code § 43.185A.008,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.009,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.009,,Wash. Rev. Code § 43.185A.009,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.010,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.010,RCW 43.185A.010: Definitions.,Wash. Rev. Code § 43.185A.010,Unknown,True,True,state_fallback_wa:affordable housing,affordable housing,False,
WA,community land trust,RCW 43.185A.011,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.011,,Wash. Rev. Code § 43.185A.011,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.012,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.012,,Wash. Rev. Code § 43.185A.012,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.013,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.013,,Wash. Rev. Code § 43.185A.013,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.014,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.014,,Wash. Rev. Code § 43.185A.014,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.015,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.015,,Wash. Rev. Code § 43.185A.015,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.016,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.016,,Wash. Rev. Code § 43.185A.016,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.017,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.017,,Wash. Rev. Code § 43.185A.017,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.018,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.018,,Wash. Rev. Code § 43.185A.018,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.019,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.019,,Wash. Rev. Code § 43.185A.019,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.020,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.020,RCW 43.185A.020: Affordable housing program—Purpose—Input.,Wash. Rev. Code § 43.185A.020,Unknown,True,True,state_fallback_wa:affordable housing,affordable housing,False,
WA,community land trust,RCW 43.185A.021,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.021,,Wash. Rev. Code § 43.185A.021,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.022,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.022,,Wash. Rev. Code § 43.185A.022,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.023,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.023,,Wash. Rev. Code § 43.185A.023,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.024,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.024,,Wash. Rev. Code § 43.185A.024,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.025,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.025,,Wash. Rev. Code § 43.185A.025,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.026,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.026,,Wash. Rev. Code § 43.185A.026,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.027,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.027,,Wash. Rev. Code § 43.185A.027,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.028,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.028,,Wash. Rev. Code § 43.185A.028,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.029,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.029,,Wash. Rev. Code § 43.185A.029,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.030,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.030,Chapter 43.185A.030 RCW Dispositions: AFFORDABLE HOUSING PROGRAM,Wash. Rev. Code § 43.185A.030,Unknown,True,True,state_fallback_wa:affordable housing,affordable housing,False,
WA,community land trust,RCW 43.185A.031,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.031,,Wash. Rev. Code § 43.185A.031,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.032,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.032,,Wash. Rev. Code § 43.185A.032,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.033,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.033,,Wash. Rev. Code § 43.185A.033,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.034,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.034,,Wash. Rev. Code § 43.185A.034,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.035,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.035,,Wash. Rev. Code § 43.185A.035,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.036,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.036,,Wash. Rev. Code § 43.185A.036,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.037,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.037,,Wash. Rev. Code § 43.185A.037,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.038,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.038,,Wash. Rev. Code § 43.185A.038,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.039,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.039,,Wash. Rev. Code § 43.185A.039,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.040,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.040,RCW 43.185A.040: Eligible organizations.,Wash. Rev. Code § 43.185A.040,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.041,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.041,,Wash. Rev. Code § 43.185A.041,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.042,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.042,,Wash. Rev. Code § 43.185A.042,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.043,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.043,,Wash. Rev. Code § 43.185A.043,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.044,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.044,,Wash. Rev. Code § 43.185A.044,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.045,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.045,,Wash. Rev. Code § 43.185A.045,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.046,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.046,,Wash. Rev. Code § 43.185A.046,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.047,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.047,,Wash. Rev. Code § 43.185A.047,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.048,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.048,,Wash. Rev. Code § 43.185A.048,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.049,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.049,,Wash. Rev. Code § 43.185A.049,Unknown,True,False,,,False,
WA,community land trust,RCW 43.185A.050,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.050,Chapter 43.185A.050 RCW Dispositions: AFFORDABLE HOUSING PROGRAM,Wash. Rev. Code § 43.185A.050,Unknown,True,True,state_fallback_wa:affordable housing,affordable housing,False,
WA,community land trust,RCW 84.14.001,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.001,,Wash. Rev. Code § 84.14.001,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.002,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.002,,Wash. Rev. Code § 84.14.002,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.003,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.003,,Wash. Rev. Code § 84.14.003,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.004,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.004,,Wash. Rev. Code § 84.14.004,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.005,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.005,RCW 84.14.005: Findings—Intent.,Wash. Rev. Code § 84.14.005,Unknown,True,True,state_fallback_wa:affordable housing,affordable housing; permanently affordable,False,
WA,community land trust,RCW 84.14.006,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.006,,Wash. Rev. Code § 84.14.006,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.007,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.007,RCW 84.14.007: Purpose.,Wash. Rev. Code § 84.14.007,Unknown,True,True,state_fallback_wa:affordable housing,affordable housing,False,
WA,community land trust,RCW 84.14.008,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.008,,Wash. Rev. Code § 84.14.008,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.009,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.009,,Wash. Rev. Code § 84.14.009,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.010,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.010,RCW 84.14.010: Definitions.,Wash. Rev. Code § 84.14.010,Amended,True,True,state_fallback_wa:affordable housing,affordable housing,False,
WA,community land trust,RCW 84.14.011,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.011,,Wash. Rev. Code § 84.14.011,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.012,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.012,,Wash. Rev. Code § 84.14.012,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.013,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.013,,Wash. Rev. Code § 84.14.013,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.014,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.014,,Wash. Rev. Code § 84.14.014,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.015,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.015,RCW 84.14.015: Transit-oriented development—Application standards.,Wash. Rev. Code § 84.14.015,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.016,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.016,,Wash. Rev. Code § 84.14.016,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.017,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.017,,Wash. Rev. Code § 84.14.017,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.018,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.018,,Wash. Rev. Code § 84.14.018,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.019,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.019,,Wash. Rev. Code § 84.14.019,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.020,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.020,RCW 84.14.020: Exemption—Duration—Valuation—Relocation assistance.,Wash. Rev. Code § 84.14.020,Amended,True,True,state_fallback_wa:affordable housing,affordable housing; low-income housing; permanently affordable,False,
WA,community land trust,RCW 84.14.021,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.021,RCW 84.14.021: Exemption—Duration—Valuation—New construction.,Wash. Rev. Code § 84.14.021,Unknown,True,True,state_fallback_wa:affordable housing,affordable housing; permanently affordable; permanent affordability; resale restriction,False,
WA,community land trust,RCW 84.14.022,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.022,,Wash. Rev. Code § 84.14.022,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.023,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.023,,Wash. Rev. Code § 84.14.023,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.024,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.024,,Wash. Rev. Code § 84.14.024,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.025,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.025,,Wash. Rev. Code § 84.14.025,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.026,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.026,,Wash. Rev. Code § 84.14.026,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.027,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.027,,Wash. Rev. Code § 84.14.027,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.028,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.028,,Wash. Rev. Code § 84.14.028,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.029,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.029,,Wash. Rev. Code § 84.14.029,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.030,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.030,RCW 84.14.030: Application—Requirements.,Wash. Rev. Code § 84.14.030,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.031,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.031,,Wash. Rev. Code § 84.14.031,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.032,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.032,,Wash. Rev. Code § 84.14.032,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.033,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.033,,Wash. Rev. Code § 84.14.033,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.034,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.034,,Wash. Rev. Code § 84.14.034,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.035,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.035,,Wash. Rev. Code § 84.14.035,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.036,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.036,,Wash. Rev. Code § 84.14.036,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.037,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.037,,Wash. Rev. Code § 84.14.037,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.038,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.038,,Wash. Rev. Code § 84.14.038,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.039,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.039,,Wash. Rev. Code § 84.14.039,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.040,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.040,"RCW 84.14.040: Designation of residential targeted area—Criteria—Local designation—Hearing—Standards, guidelines.",Wash. Rev. Code § 84.14.040,Unknown,True,True,state_fallback_wa:affordable housing,affordable housing,False,
WA,community land trust,RCW 84.14.041,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.041,,Wash. Rev. Code § 84.14.041,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.042,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.042,,Wash. Rev. Code § 84.14.042,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.043,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.043,,Wash. Rev. Code § 84.14.043,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.044,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.044,,Wash. Rev. Code § 84.14.044,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.045,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.045,,Wash. Rev. Code § 84.14.045,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.046,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.046,,Wash. Rev. Code § 84.14.046,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.047,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.047,,Wash. Rev. Code § 84.14.047,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.048,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.048,,Wash. Rev. Code § 84.14.048,Unknown,True,False,,,False,
WA,community land trust,RCW 84.14.049,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.049,,Wash. Rev. Code § 84.14.049,Unknown,True,False,,,False,
