state,source_type,source_url,title,identifier,status,last_seen_date,summary_snippet,keywords_matched,confidence,notes,airtable_category,content_hash,session
CA,legislature site,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2399,Bill Text - AB-2399 Real property tax: welfare exemption: community land trusts.,AB 2399,Amended,2026-03-14,Bill Text - AB-2399 Real property tax: welfare exemption: community land trusts. skip to content home accessibility FAQ feedback sitemap login x Quick Search: Bill Number Bill Keyword Home Bill Information California Law Publications Other Resources My Subscriptions My Favorites Bill Information >> ,community land trust,High,,Standards for Tax Assessments/Guidance,4db775cce9d47bbe3869fa49d64193a0b57fac39b3c8486908ad4df37d931525,
CA,legislature site,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2400,Bill Text - AB-2400 General plan: annual report: suite-style student housing quarters.,AB 2400,Amended,2026-03-14,Bill Text - AB-2400 General plan: annual report: suite-style student housing quarters. skip to content home accessibility FAQ feedback sitemap login x Quick Search: Bill Number Bill Keyword Home Bill Information California Law Publications Other Resources My Subscriptions My Favorites Bill Informati,community land trust,Low,,Definition of CLT,178a3e84e7f52ee5312da236106fd900c4cc5977b1096d7cec324edcfc1d8ce0,
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2025/S2324,Relates to the sale or transfer of certain real property by the state or public authorities,S2324,In Assembly Committee,2026-03-14,Relates to the sale or transfer of certain real property by the state or public authorities; requires mandatory review by the attorney general and comptroller of the sale of certain real property; requires notice to members of the legislature and county executives in districts and counties in which ,surplus land,Low,,Surplus Land/Land Banking,bd28760ecddba716667cfc070bb91c2c6a3804f5a49d291a139ecbf342711f30,2025
VT,legislature site,https://legislature.vermont.gov/bill/status/2024/H.68,Bill Status H.68,H.68,Introduced,2026-03-14,"Bill Status H.68 Skip to content Skip to navigation Skip to subnav Searching 2023-2024 Session Return to current session Vermont General Assembly Toggle navigation Toggle search Home Bills & Resolutions Search Bill, Act & Resolution Search Bills Released for Introduction House Bills Senate Bills All",community land trust,Low,,Definition of CLT,7c2f04e0aabe078004d4e605794deccbb1949b51918b85acf9a80095975e7054,2024
VT,code site,https://legislature.vermont.gov/statutes/section/10/015/00321,10 V.S.A. § 321 - The Vermont Statutes Online,10 V.S.A. § 321,Current law,2026-03-14,"Vermont Laws Skip to content Skip to navigation Skip to subnav Searching 2025-2026 Session Return to current session Vermont General Assembly Toggle navigation Toggle search Home Bills & Resolutions Search Bill, Act & Resolution Search Bills Released for Introduction House Bills Senate Bills All Bil",community land trust,High,,Definition of CLT,37cc88ee8d16ed58034ded35790cfade8f195b6d0e7cd8545e6a97fcad691443,
VT,code site,https://legislature.vermont.gov/statutes/section/32/125/03847,32 V.S.A. § 3847 - The Vermont Statutes Online,32 V.S.A. § 3847,Current law,2026-03-14,"Vermont Laws Skip to content Skip to navigation Skip to subnav Searching 2025-2026 Session Return to current session Vermont General Assembly Toggle navigation Toggle search Home Bills & Resolutions Search Bill, Act & Resolution Search Bills Released for Introduction House Bills Senate Bills All Bil",community land trust,High,,Standards for Tax Assessments/Guidance,5493c0376d1e25a7f868ff608ef16dc8ddf527db63be1b918d5045a3c402b87f,
VT,code site,https://legislature.vermont.gov/statutes/section/24/117/04303,24 V.S.A. § 4303 - The Vermont Statutes Online,24 V.S.A. § 4303,Current law,2026-03-14,"Vermont Laws Skip to content Skip to navigation Skip to subnav Searching 2025-2026 Session Return to current session Vermont General Assembly Toggle navigation Toggle search Home Bills & Resolutions Search Bill, Act & Resolution Search Bills Released for Introduction House Bills Senate Bills All Bil",community land trust,Low,,Affordability Covenants,9ed4b9de4baa17415dbccdd5dc178cb3fe6ee67799645bae63e18d6759d1164e,
VT,code site,https://legislature.vermont.gov/statutes/section/10/015/00321,10 V.S.A. § 321 - The Vermont Statutes Online,10 V.S.A. § 321,Current law,2026-03-14,"Vermont Laws Skip to content Skip to navigation Skip to subnav Searching 2025-2026 Session Return to current session Vermont General Assembly Toggle navigation Toggle search Home Bills & Resolutions Search Bill, Act & Resolution Search Bills Released for Introduction House Bills Senate Bills All Bil",shared equity,High,,Affordability Covenants,37cc88ee8d16ed58034ded35790cfade8f195b6d0e7cd8545e6a97fcad691443,
