state,source_type,source_url,title,identifier,status,last_seen_date,summary_snippet,keywords_matched,confidence,notes,airtable_category,content_hash,session
VT,code site,https://legislature.vermont.gov/statutes/section/10/015/00321,Vermont Laws,10 V.S.A. § 321,Amended,2026-03-14,"Vermont Laws Skip to content Skip to navigation Skip to subnav Searching 2025-2026 Session Return to current session Vermont General Assembly Toggle navigation Toggle search Home Bills & Resolutions Search Bill, Act & Resolution Search Bills Released for Introduction House Bills Senate Bills All Bil",community land trust,High,,Definition of CLT,37cc88ee8d16ed58034ded35790cfade8f195b6d0e7cd8545e6a97fcad691443,
VT,code site,https://legislature.vermont.gov/statutes/section/32/125/03847,Vermont Laws,32 V.S.A. § 3847,Unknown,2026-03-14,"Vermont Laws Skip to content Skip to navigation Skip to subnav Searching 2025-2026 Session Return to current session Vermont General Assembly Toggle navigation Toggle search Home Bills & Resolutions Search Bill, Act & Resolution Search Bills Released for Introduction House Bills Senate Bills All Bil",community land trust,High,,Definition of CLT,5493c0376d1e25a7f868ff608ef16dc8ddf527db63be1b918d5045a3c402b87f,
VT,code site,https://legislature.vermont.gov/statutes/section/24/117/04303,Vermont Laws,24 V.S.A. § 4303,Amended,2026-03-14,"Vermont Laws Skip to content Skip to navigation Skip to subnav Searching 2025-2026 Session Return to current session Vermont General Assembly Toggle navigation Toggle search Home Bills & Resolutions Search Bill, Act & Resolution Search Bills Released for Introduction House Bills Senate Bills All Bil",community land trust,Low,,Definition of CLT,9ed4b9de4baa17415dbccdd5dc178cb3fe6ee67799645bae63e18d6759d1164e,
