state,keyword,source_type,candidate_url,candidate_title,snippet
CA,surplus land,agency program page,https://www.hcd.ca.gov/planning-and-research/public-lands/surplus-land,California HCD Surplus Land,Seed policy page
CA,community land trust,agency program page,https://www.boe.ca.gov/proptaxes/pdf/lta24017.pdf,BOE CLT welfare exemption guidance,Seed policy PDF
