state,source_type,source_url,title,identifier,status,last_seen_date,summary_snippet,keywords_matched,confidence,notes,airtable_category,content_hash,session,match_reason,match_terms
MA,legislature site,https://malegislature.gov/Bills/194/S21,Bill S.21,S21,Unknown,2026-03-23,"Bill S.21 Skip to Content March 23, 2026 | 34°F The 194th General Court of the Commonwealth of Massachusetts MyLegislature MyLegislature Use MyLegislature to follow bills, hearings, and legislators that interest you. Sign in with MyLegislature Account * Indicates required fields Email* Password* For",community land trust,Low,,Definition of CLT,3e61fddf7d4e1cd0a58922b4957f1f830eeb271bdc96246731f95d7b7ddde549,194,state_fallback_ma:workforce housing,workforce housing
MA,legislature site,https://malegislature.gov/Bills/194/S22,Bill S.22,S22,Unknown,2026-03-23,"Bill S.22 Skip to Content March 23, 2026 | 34°F The 194th General Court of the Commonwealth of Massachusetts MyLegislature MyLegislature Use MyLegislature to follow bills, hearings, and legislators that interest you. Sign in with MyLegislature Account * Indicates required fields Email* Password* For",community land trust,Low,,Definition of CLT,bc3af4a348c3f77a05be5f2d9adf5e16c0660bb89c50deda10c5a91b0d3ab323,194,state_fallback_ma:affordable housing,affordable housing
