state,source_type,source_url,title,identifier,chapter,status,last_seen_date,summary_snippet,keywords_matched,confidence,notes,airtable_category,content_hash,session,match_reason,match_terms
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.010,RCW 43.185A.010:,Wash. Rev. Code § 43.185A.010,43.185A,Unknown,2026-05-02,"rcw 43.185a.010: home / state laws and rules / rcws / title 43 / chapter 43.185a / section 43.185a.010 print 43.185a.005 << 43.185a.010 >> 43.185a.020 pdf rcw 43.185a.010 definitions. unless the context clearly requires otherwise, the definitions in this section apply throughout this chapter. (1) ""a",community land trust,Low,,Definition of CLT,ce7ccc33f93def0344b31954ab6f5630541e047b4b1ac290f8728f70fcc53ac2,,,affordable housing
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.020,RCW 43.185A.020:,Wash. Rev. Code § 43.185A.020,43.185A,Unknown,2026-05-02,rcw 43.185a.020: home / state laws and rules / rcws / title 43 / chapter 43.185a / section 43.185a.020 print 43.185a.010 << 43.185a.020 >> 43.185a.040 pdf rcw 43.185a.020 affordable housing program — purpose — input. the affordable housing program is created in the department for the purpose of deve,community land trust,Low,,Affordability Covenants,ee95fcd235af53ad761597797de8b56466dc7157b8397ab9584dc8663db5319a,,,affordable housing
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.030,Chapter 43.185A.030 RCW dispositions: AFFORDABLE HOUSING PROGRAM,Wash. Rev. Code § 43.185A.030,43.185A,Unknown,2026-05-02,chapter 43.185a.030 rcw dispositions: affordable housing program home / state laws and rules / rcws / dispositions / title 43 / chapter 43.185a print chapter 43.185a.030 rcw dispositions affordable housing program sections 43.185a.030 activities eligible for assistance. [2013 c 145 § 5; 2011 1st sp.,community land trust,Low,,Affordability Covenants,44a2880c4dadf0fa52fd75cb9819bcedd4652fc9fa2aeb905e8f5f9eed3e86a3,,,affordable housing
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.010,RCW 84.14.010:,Wash. Rev. Code § 84.14.010,84.14,Amended,2026-05-02,"rcw 84.14.010: home / state laws and rules / rcws / title 84 / chapter 84.14 / section 84.14.010 print 84.14.007 << 84.14.010 >> 84.14.015 pdf rcw 84.14.010 definitions. the definitions in this section apply throughout this chapter unless the context clearly requires otherwise. (1) ""affordable housi",community land trust,Low,,Definition of CLT,b5c1bdd376405707a43e18a29351ded5b5bb83f94af29261f59fc610df1f9e8b,,,affordable housing
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=35.21.830,RCW 35.21.830:,Wash. Rev. Code § 35.21.830,35.21,Unknown,2026-05-02,rcw 35.21.830: home / state laws and rules / rcws / title 35 / chapter 35.21 / section 35.21.830 print 35.21.820 << 35.21.830 >> 35.21.840 pdf rcw 35.21.830 controls on rent for residential structures — prohibited — exceptions. the imposition of controls on rent is of statewide significance and is p,community land trust,Low,,Definition of CLT,fe2c19a0f8934d38cf48adef3983c3d3e048d3ab5b710a7c93fdfc90e663dfe8,,,
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=36.70A.540,RCW 36.70A.540:,Wash. Rev. Code § 36.70A.540,36.70A,Unknown,2026-05-02,rcw 36.70a.540: home / state laws and rules / rcws / title 36 / chapter 36.70a / section 36.70a.540 print 36.70a.536 << 36.70a.540 >> 36.70a.545 pdf rcw 36.70a.540 affordable housing incentive programs — low-income housing units — tiny house communities. (1)(a) any city or county planning under rcw ,community land trust,Low,,Affordability Covenants,9e4e7b79211cebcb9f67d26286f21b7b1cc195096269ffd8d568eb6168a9b3c3,,,affordable housing
