state,source_type,source_url,title,identifier,status,last_seen_date,summary_snippet,keywords_matched,confidence,notes,airtable_category,content_hash,session,match_reason,match_terms
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=35.21.830,RCW 35.21.830: Controls on rent for residential structures—Prohibited—Exceptions.,Wash. Rev. Code § 35.21.830,Unknown,2026-04-01,rcw 35.21.830: controls on rent for residential structures—prohibited—exceptions. print rcws > title 35 > chapter 35.21 > section 35.21.830 35.21.820 << 35.21.830 >> 35.21.840 pdf rcw 35.21.830 controls on rent for residential structures — prohibited — exceptions. the imposition of controls on rent ,community land trust,Low,,Definition of CLT,5425f882b942add61ec6e5720452afa7d1089e39b917a6962db947c5335440a4,,,
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=36.70A.540,RCW 36.70A.540: Affordable housing incentive programs—Low-income housing units—Tiny house communities.,Wash. Rev. Code § 36.70A.540,Unknown,2026-04-01,rcw 36.70a.540: affordable housing incentive programs—low-income housing units—tiny house communities. print rcws > title 36 > chapter 36.70a > section 36.70a.540 36.70a.536 << 36.70a.540 >> 36.70a.545 pdf rcw 36.70a.540 affordable housing incentive programs — low-income housing units — tiny house c,community land trust,Low,,Affordability Covenants,43839418da4b20755e032b39972d31b6162bec74b45368f99b3d5310e46821c1,,state_fallback_wa:affordable housing,affordable housing; low-income housing
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.010,RCW 43.185A.010: Definitions.,Wash. Rev. Code § 43.185A.010,Unknown,2026-04-01,"rcw 43.185a.010: definitions. print rcws > title 43 > chapter 43.185a > section 43.185a.010 43.185a.005 << 43.185a.010 >> 43.185a.020 pdf rcw 43.185a.010 definitions. unless the context clearly requires otherwise, the definitions in this section apply throughout this chapter. (1) ""affordable housing",community land trust,Low,,Affordability Covenants,33ce2b10774a17a21139b992b64e0ccd6b0b866e200bd6f53b1cb967f59a88e7,,state_fallback_wa:affordable housing,affordable housing
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.020,RCW 43.185A.020: Affordable housing program—Purpose—Input.,Wash. Rev. Code § 43.185A.020,Unknown,2026-04-01,rcw 43.185a.020: affordable housing program—purpose—input. print rcws > title 43 > chapter 43.185a > section 43.185a.020 43.185a.010 << 43.185a.020 >> 43.185a.040 pdf rcw 43.185a.020 affordable housing program — purpose — input. the affordable housing program is created in the department for the pur,community land trust,Low,,Affordability Covenants,3a0a54b993ccb51331f1bbc1e6a6de7832632039ad599d54a72309c6b6f1b32f,,state_fallback_wa:affordable housing,affordable housing
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=43.185A.030,Chapter 43.185A.030 RCW Dispositions: AFFORDABLE HOUSING PROGRAM,Wash. Rev. Code § 43.185A.030,Unknown,2026-04-01,chapter 43.185a.030 rcw dispositions: affordable housing program print rcws > dispositions > title 43 > chapter 43.185a chapter 43.185a.030 rcw dispositions affordable housing program sections 43.185a.030 activities eligible for assistance. [2013 c 145 § 5; 2011 1st sp.s. c 50 § 954. prior: 2005 c 5,community land trust,Low,,Affordability Covenants,d4291d7f09c25009b6e595fc085187d803eb0644fe72af0e9d93c030269aa8d4,,state_fallback_wa:affordable housing,affordable housing
WA,code site,https://app.leg.wa.gov/rcw/default.aspx?cite=84.14.010,RCW 84.14.010: Definitions.,Wash. Rev. Code § 84.14.010,Amended,2026-04-01,"rcw 84.14.010: definitions. print rcws > title 84 > chapter 84.14 > section 84.14.010 84.14.007 << 84.14.010 >> 84.14.015 pdf rcw 84.14.010 definitions. the definitions in this section apply throughout this chapter unless the context clearly requires otherwise. (1) ""affordable housing"" means residen",community land trust,Low,,Affordability Covenants,72e91787af81b7717d07395388c188d3876b5dfb73a82eb1165a6ca64ae286fb,,state_fallback_wa:affordable housing,affordable housing
