state,source_type,source_url,title,identifier,status,last_seen_date,summary_snippet,keywords_matched,confidence,notes,airtable_category,content_hash,session,match_reason,match_terms
AL,code site,https://alison.legislature.state.al.us/code-of-alabama?section=24-10-1,Alabama Legislature,Ala. Code § 24-10-1,Unknown,2026-04-01,alabama legislature,community land trust,Low,,Definition of CLT,b242257bdfe7d0720f9d4e8019e26a69af3254ca5a429de58b50dbea31eff04f,,state_fallback_al:affordable housing,affordable housing; affordable housing act
AL,code site,https://alison.legislature.state.al.us/code-of-alabama?section=24-10-4,Alabama Legislature,Ala. Code § 24-10-4,Unknown,2026-04-01,alabama legislature,community land trust,Low,,Definition of CLT,b242257bdfe7d0720f9d4e8019e26a69af3254ca5a429de58b50dbea31eff04f,,state_fallback_al:affordable housing,affordable housing; affordable housing trust fund; housing trust fund
AL,code site,https://alison.legislature.state.al.us/code-of-alabama?section=24-10-6,Alabama Legislature,Ala. Code § 24-10-6,Unknown,2026-04-01,alabama legislature,community land trust,Low,,Definition of CLT,b242257bdfe7d0720f9d4e8019e26a69af3254ca5a429de58b50dbea31eff04f,,state_fallback_al:affordable housing,affordable housing
AL,code site,https://alison.legislature.state.al.us/code-of-alabama?section=24-10-7,Alabama Legislature,Ala. Code § 24-10-7,Unknown,2026-04-01,alabama legislature,community land trust,Low,,Definition of CLT,b242257bdfe7d0720f9d4e8019e26a69af3254ca5a429de58b50dbea31eff04f,,state_fallback_al:affordable housing,affordable housing
AL,code site,https://alison.legislature.state.al.us/code-of-alabama?section=24-1-40.1,Alabama Legislature,Ala. Code § 24-1-40.1,Unknown,2026-04-01,alabama legislature,community land trust,Low,,Definition of CLT,b242257bdfe7d0720f9d4e8019e26a69af3254ca5a429de58b50dbea31eff04f,,state_fallback_al:tax exemption,tax exemption
