state,source_type,source_url,title,identifier,status,last_seen_date,summary_snippet,keywords_matched,confidence,notes,airtable_category,content_hash,session
MA,legislature site,https://malegislature.gov/Bills/194/S21,Bill S.21,S21,Unknown,2026-03-14,"Bill S.21 Skip to Content March 14, 2026 | 45°F The 194th General Court of the Commonwealth of Massachusetts MyLegislature MyLegislature Use MyLegislature to follow bills, hearings, and legislators that interest you. Sign in with MyLegislature Account * Indicates required fields Email* Password* For",community land trust,Low,,Definition of CLT,08f25e63b9c131ff3ba5ef3489d354c2aecc4e27d801022d519f64a24c6ceb1b,194
MA,legislature site,https://malegislature.gov/Bills/194/S22,Bill S.22,S22,Unknown,2026-03-14,"Bill S.22 Skip to Content March 14, 2026 | 45°F The 194th General Court of the Commonwealth of Massachusetts MyLegislature MyLegislature Use MyLegislature to follow bills, hearings, and legislators that interest you. Sign in with MyLegislature Account * Indicates required fields Email* Password* For",community land trust,Low,,Definition of CLT,2b8a52e16e76fa19c9e77f2f5864a04a81f88acb933b51ce751f119c57c36a4d,194
