state,source_type,source_url,title,identifier,status,last_seen_date,summary_snippet,keywords_matched,confidence,notes,airtable_category,content_hash,session
MA,legislature site,https://malegislature.gov/Bills/194/S21,Bill S.21,S21,Unknown,2026-03-14,"Bill S.21 Skip to Content March 14, 2026 | 45°F The 194th General Court of the Commonwealth of Massachusetts MyLegislature MyLegislature Use MyLegislature to follow bills, hearings, and legislators that interest you. Sign in with MyLegislature Account * Indicates required fields Email* Password* For",community land trust,Low,,Definition of CLT,08f25e63b9c131ff3ba5ef3489d354c2aecc4e27d801022d519f64a24c6ceb1b,194
MA,legislature site,https://malegislature.gov/Bills/194/S22,Bill S.22,S22,Unknown,2026-03-14,"Bill S.22 Skip to Content March 14, 2026 | 45°F The 194th General Court of the Commonwealth of Massachusetts MyLegislature MyLegislature Use MyLegislature to follow bills, hearings, and legislators that interest you. Sign in with MyLegislature Account * Indicates required fields Email* Password* For",community land trust,Low,,Definition of CLT,2b8a52e16e76fa19c9e77f2f5864a04a81f88acb933b51ce751f119c57c36a4d,194
MA,code site,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleVII/Chapter40/Section60,"General Law - Part I, Title VII, Chapter 40, Section 60",MGL c.40 §60,Unknown,2026-03-14,"General Law - Part I, Title VII, Chapter 40, Section 60 Skip to Content March 14, 2026 | 45°F The 194th General Court of the Commonwealth of Massachusetts MyLegislature MyLegislature Use MyLegislature to follow bills, hearings, and legislators that interest you. Sign in with MyLegislature Account * ",community land trust,Low,,Definition of CLT,b6681688dd15f020e9d41c30551a06c04ba7b7415b74fdfc5d42f0d2ec8e3fb4,
MA,code site,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleVII/Chapter40/Section60B,"General Law - Part I, Title VII, Chapter 40, Section 60B",MGL c.40 §60B,Unknown,2026-03-14,"General Law - Part I, Title VII, Chapter 40, Section 60B Skip to Content March 14, 2026 | 45°F The 194th General Court of the Commonwealth of Massachusetts MyLegislature MyLegislature Use MyLegislature to follow bills, hearings, and legislators that interest you. Sign in with MyLegislature Account *",community land trust,Low,,Definition of CLT,b00487dae70546f331cc3db2ae92f808a2c2620852e8648d0e5024449a425865,
